Timestamp,Glucose Reading/Event
"Apr 26 2023,  7:11 PM",67
"Apr 26 2023,  7:12 PM",69
"Apr 26 2023,  7:13 PM",70
"Apr 26 2023,  7:14 PM",71
"Apr 26 2023,  7:15 PM",64
"Apr 26 2023,  7:16 PM",72
"Apr 26 2023,  7:17 PM",71
"Apr 26 2023,  7:18 PM",72
"Apr 26 2023,  7:29 PM",75
"Apr 26 2023,  7:44 PM",75
"Apr 26 2023,  7:59 PM",81
"Apr 26 2023,  8:08 PM",82
"Apr 26 2023,  8:09 PM",81
"Apr 26 2023,  8:10 PM",82
"Apr 26 2023,  8:11 PM",82
"Apr 26 2023,  8:12 PM",82
"Apr 26 2023,  8:13 PM",83
"Apr 26 2023,  8:14 PM",82
"Apr 26 2023,  8:15 PM",82
"Apr 26 2023,  8:16 PM",82
"Apr 26 2023,  8:17 PM",82
"Apr 26 2023,  8:18 PM",81
"Apr 26 2023,  8:19 PM",81
"Apr 26 2023,  8:20 PM",80
"Apr 26 2023,  8:21 PM",80
"Apr 26 2023,  8:22 PM",79
"Apr 26 2023,  8:23 PM",79
"Apr 26 2023,  8:30 PM",83
"Apr 26 2023,  8:34 PM",87
"Apr 26 2023,  8:35 PM",85
"Apr 26 2023,  8:36 PM",85
"Apr 26 2023,  8:37 PM",84
"Apr 26 2023,  8:38 PM",83
"Apr 26 2023,  8:39 PM",84
"Apr 26 2023,  8:40 PM",83
"Apr 26 2023,  8:41 PM",82
"Apr 26 2023,  8:42 PM",81
"Apr 26 2023,  8:43 PM",81
"Apr 26 2023,  8:44 PM",80
"Apr 26 2023,  8:45 PM",84
"Apr 26 2023,  8:46 PM",81
"Apr 26 2023,  8:47 PM",82
"Apr 26 2023,  8:48 PM",82
"Apr 26 2023,  8:49 PM",82
"Apr 26 2023,  9:00 PM",85
"Apr 26 2023,  9:06 PM",80
"Apr 26 2023,  9:07 PM",79
"Apr 26 2023,  9:08 PM",78
"Apr 26 2023,  9:09 PM",78
"Apr 26 2023,  9:10 PM",78
"Apr 26 2023,  9:11 PM",78
"Apr 26 2023,  9:12 PM",78
"Apr 26 2023,  9:13 PM",78
"Apr 26 2023,  9:14 PM",79
"Apr 26 2023,  9:15 PM",78
"Apr 26 2023,  9:16 PM",79
"Apr 26 2023,  9:17 PM",79
"Apr 26 2023,  9:18 PM",80
"Apr 26 2023,  9:19 PM",81
